Firm,exchange,industry,year,asset_turnover,roa,roe,current_ratio,interest_cover,debt_to_equity_perc,debt-to_asset_perc,emission_trading,esg_combined,Environmental,Social,Governance,debt_to_asset_perc,Scope_1_and_2,co2_emission,size,ln_revenue,ln_debt,ln_equity,z_score,ln_co2_revenue,emission
GNC.AX,AX,Wholesale Trade,2013,1.49751645,6.78614579,12.25788852,1.8376,5.14959,47.36154,26.24134,FALSE,40.91888262,13.3014508,33.80234154,83.59385915,26.24134,,455134,21.878258,22.21886293,20.54042414,21.28778387,3.04104349,-9.19051577,0.10200224
GNC.AX,AX,Wholesale Trade,2014,1.25832924,2.00086059,3.71670806,1.61883,1.93556,54.6403,28.59714,FALSE,45.82001585,36.32176593,32.2924876,79.64065347,28.59714,,246028,21.927199,22.13281275,20.6753353,21.27973382,2.09580576,-9.71961212,0.06009331
GNC.AX,AX,Wholesale Trade,2015,1.16613624,1.24448758,2.44511118,1.71814,2.68605,61.38983,30.44342,FALSE,55.00145483,42.31416731,42.57231976,90.43225445,30.44342,,404924,22.024465,22.13070996,20.83516493,21.32309086,2.14342131,-9.21925528,0.09911247
GNC.AX,AX,Wholesale Trade,2016,1.14719636,1.16697703,2.37387059,1.56254,1.13098,67.69805,32.98003,FALSE,52.57305232,37.69786445,41.14953578,88.67305699,32.98003,401335,401335,21.997455,22.14837217,20.88818688,21.27829972,1.73216431,-9.24582041,0.0965142
GNC.AX,AX,Wholesale Trade,2017,1.27559867,5.14900616,10.25427493,1.87472,3.70264,58.32079,30.15229,FALSE,53.48741875,45.6254336,39.6281639,86.08131495,30.15229,383774,383774,22.003755,22.24402553,20.80484582,21.34325075,2.45501556,-9.38621641,0.08387219
GNC.AX,AX,Wholesale Trade,2018,1.12321242,1.94372186,3.87103561,1.66362,1.38074,66.97559,32.727,FALSE,56.78617945,55.48471553,40.91818314,85.63416116,32.727,112248,112248,22.103215,22.17091397,20.9862453,21.38708719,2.128569,-10.54244798,0.02639204
GNC.AX,AX,Wholesale Trade,2019,0.90014394,-6.89400405,-14.3231441,1.6845,-4.70588,76.32195,36.16214,FALSE,46.56142823,53.50708698,38.72549203,76.51237764,36.16214,110968,110968,22.077966,21.98546981,21.06080893,21.33101851,1.72302476,-10.36847266,0.03140722
GNC.AX,AX,Wholesale Trade,2020,1.24569134,1.58905694,3.18597353,1.50788,-4.19173,54.38693,29.75376,FALSE,52.98986406,50.52887053,44.31293461,70.68876281,29.75376,112199,112199,21.417462,22.02097486,20.20524774,20.81429414,2.36451056,-10.3929455,0.03064793
GNC.AX,AX,Wholesale Trade,2021,2.33700741,8.41773768,17.19700922,1.38739,9.91571,80.29209,35.87025,FALSE,62.79442105,54.62761978,55.60537368,84.19897873,35.87025,123164,123164,21.715591,22.42646728,20.69032934,20.90982839,3.46481278,-10.7051952,0.02242812
GNC.AX,AX,Wholesale Trade,2022,2.46688327,18.20769549,41.39513884,1.48947,26.63467,75.98265,32.99851,FALSE,59.54912118,47.95821955,52.94652229,83.7069366,32.99851,135559,135559,21.930733,22.78610787,20.82202461,21.09668973,5.45508369,-10.96894562,0.0172285
GNC.AX,AX,Wholesale Trade,2023,2.43327715,10.96129395,24.35211036,1.65418,7.81224,75.80098,35.29309,FALSE,55.44127759,40.95852554,48.15401438,83.9630763,35.29309,130229,130229,21.952555,22.83094249,20.91107232,21.18813129,4.82795812,-11.05389277,0.01582542
GNC.AX,AX,Wholesale Trade,2024,2.05790914,2.60290653,5.31911456,1.80124,0.40363,62.55407,32.35912,FALSE,59.98633933,50.45266501,53.39054557,81.86944697,32.35912,,114632,21.789665,22.59611362,20.66139043,21.13052933,4.52286535,-10.94663134,0.01761726
MCP.AX,AX,Wholesale Trade,2010,1.01854581,10.53895108,20.84314194,2.25628,5.61232,39.34728,22.42464,FALSE,15.30179622,0,14.01425601,33.10714286,22.42464,,11005.3,19.660463,19.68555578,18.16545295,19.09819639,4.14748014,-10.37942352,0.03106516
MCP.AX,AX,Wholesale Trade,2011,0.85994134,10.87700918,18.48245896,2.07155,6.57058,29.00178,17.63158,FALSE,15.17944681,0,11.60555234,37.30813288,17.63158,,9328.77,19.615476,19.48733098,17.87999711,19.11780999,4.66110801,-10.34647253,0.03210584
